ID,L1,L2,L3,L4,L5
KO1287,KEGG,Metabolism,Energy metabolism,ko00680 Methane metabolism,K10944 methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]
KO1288,KEGG,Metabolism,Energy metabolism,ko00680 Methane metabolism,K10945 methane/ammonia monooxygenase subunit B
KO1289,KEGG,Metabolism,Energy metabolism,ko00680 Methane metabolism,K10946 methane/ammonia monooxygenase subunit C
KO1356,KEGG,Metabolism,Energy metabolism,ko00910 Nitrogen metabolism,K00360 assimilatory nitrate reductase electron transfer subunit [EC:1.7.99.-]
KO1357,KEGG,Metabolism,Energy metabolism,ko00910 Nitrogen metabolism,K00362 nitrite reductase (NADH) large subunit [EC:1.7.1.15]
KO1358,KEGG,Metabolism,Energy metabolism,ko00910 Nitrogen metabolism,K00363 nitrite reductase (NADH) small subunit [EC:1.7.1.15]
KO1359,KEGG,Metabolism,Energy metabolism,ko00910 Nitrogen metabolism,K00366 ferredoxin-nitrite reductase [EC:1.7.7.1]
KO1360,KEGG,Metabolism,Energy metabolism,ko00910 Nitrogen metabolism,K00367 ferredoxin-nitrate reductase [EC:1.7.7.2]
KO1361,KEGG,Metabolism,Energy metabolism,ko00910 Nitrogen metabolism,K00368 nitrite reductase (NO-forming) [EC:1.7.2.1]
KO1362,KEGG,Metabolism,Energy metabolism,ko00910 Nitrogen metabolism,"K00370 nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]"
KO1363,KEGG,Metabolism,Energy metabolism,ko00910 Nitrogen metabolism,"K00371 nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]"
KO1364,KEGG,Metabolism,Energy metabolism,ko00910 Nitrogen metabolism,K00372 assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-]
KO1365,KEGG,Metabolism,Energy metabolism,ko00910 Nitrogen metabolism,K00374 nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]
KO1366,KEGG,Metabolism,Energy metabolism,ko00910 Nitrogen metabolism,K00376 nitrous-oxide reductase [EC:1.7.2.4]
KO1368,KEGG,Metabolism,Energy metabolism,ko00910 Nitrogen metabolism,K00531 nitrogenase delta subunit [EC:1.18.6.1]
KO1377,KEGG,Metabolism,Energy metabolism,ko00910 Nitrogen metabolism,K02305 nitric oxide reductase subunit C
KO1378,KEGG,Metabolism,Energy metabolism,ko00910 Nitrogen metabolism,K02567 nitrate reductase (cytochrome) [EC:1.9.6.1]
KO1379,KEGG,Metabolism,Energy metabolism,ko00910 Nitrogen metabolism,"K02568 nitrate reductase (cytochrome), electron transfer subunit"
KO1381,KEGG,Metabolism,Energy metabolism,ko00910 Nitrogen metabolism,K02586 nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]
KO1383,KEGG,Metabolism,Energy metabolism,ko00910 Nitrogen metabolism,K02591 nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]
KO1384,KEGG,Metabolism,Energy metabolism,ko00910 Nitrogen metabolism,K03385 nitrite reductase (cytochrome c-552) [EC:1.7.2.2]
KO1385,KEGG,Metabolism,Energy metabolism,ko00910 Nitrogen metabolism,K04561 nitric oxide reductase subunit B [EC:1.7.2.5]
KO1387,KEGG,Metabolism,Energy metabolism,ko00910 Nitrogen metabolism,K10534 nitrate reductase (NAD(P)H) [EC:1.7.1.1 1.7.1.2 1.7.1.3]
KO1394,KEGG,Metabolism,Energy metabolism,ko00910 Nitrogen metabolism,K15864 nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1 1.7.99.1]
KO1395,KEGG,Metabolism,Energy metabolism,ko00910 Nitrogen metabolism,K15876 cytochrome c nitrite reductase small subunit
KO1397,KEGG,Metabolism,Energy metabolism,ko00910 Nitrogen metabolism,K17877 nitrite reductase (NAD(P)H) [EC:1.7.1.4]
KO1401,KEGG,Metabolism,Energy metabolism,ko00910 Nitrogen metabolism,K22896 vanadium-dependent nitrogenase alpha chain [EC:1.18.6.2]
KO1402,KEGG,Metabolism,Energy metabolism,ko00910 Nitrogen metabolism,K22897 vanadium-dependent nitrogenase beta chain [EC:1.18.6.2]
KO1403,KEGG,Metabolism,Energy metabolism,ko00910 Nitrogen metabolism,K22899 vanadium nitrogenase iron protein
